File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
        2s  0.19% 81.49%     17.97s  1.71%  modernc.org/sqlite/lib._sqlite3MemMalloc
         0     0% 81.49%     17.45s  1.66%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ListRoleMenuAssignments
         0     0% 81.49%     17.45s  1.66%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityRoleMenuAssignments
         0     0% 81.49%     17.45s  1.66%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/menu.(*Store).LoadRoleMenuAssignments
     1.05s   0.1% 81.59%     17.09s  1.63%  encoding/json.mapEncoder.encode
         0     0% 81.59%     16.62s  1.58%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).BuildPrincipal
     0.04s 0.0038% 81.60%     16.49s  1.57%  modernc.org/sqlite/lib._whereLoopAddAll
         0     0% 81.60%     16.09s  1.53%  runtime.gcBgMarkWorker.func2
     0.28s 0.027% 81.62%     16.08s  1.53%  runtime.gcDrain
         0     0% 81.62%     16.05s  1.53%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executionCatalog
         0     0% 81.62%     16.02s  1.53%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).UpdateConversationDelegation
         0     0% 81.62%     15.99s  1.52%  syscall.syscall6
     0.18s 0.017% 81.64%     15.90s  1.52%  modernc.org/sqlite/lib._whereLoopAddBtree
     0.13s 0.012% 81.65%     15.88s  1.51%  modernc.org/sqlite/lib._dbMallocRawFinish
     0.15s 0.014% 81.67%     15.78s  1.50%  modernc.org/libc.Xmalloc
         0     0% 81.67%     15.59s  1.49%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).InvokeConversationTool
         0     0% 81.67%     15.51s  1.48%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).InvokeConversationTool
         0     0% 81.67%     15.18s  1.45%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ResolvePrincipal
         0     0% 81.67%     15.18s  1.45%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipal
         0     0% 81.67%     15.09s  1.44%  runtime.goexit0
         0     0% 81.67%     14.91s  1.42%  github.com/domainry/domainry-agent/internal/application.(*PersonalConversationHost).ConversationTools
     0.33s 0.031% 81.70%     14.43s  1.38%  modernc.org/memory.(*Allocator).UintptrMalloc
         0     0% 81.70%     14.25s  1.36%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkVerificationSources
         0     0% 81.70%     13.88s  1.32%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessWebFixture).open
         0     0% 81.70%     13.60s  1.30%  github.com/domainry/domainry-tools/internal/adapter/reporttools.(*Adapter).authorizeResult
